talent_id,role_id,order
nm0000080,2,1
nm0000080,7,2
nm0000080,6,3
nm0000128,2,1
nm0000128,1,2
nm0000128,5,3
nm0000307,4,1
nm0000307,1,2
nm0000307,5,3
nm0000670,4,1
nm0000670,5,2
nm0000670,7,3
nm0001198,4,1
nm0001198,5,2
nm0001348,7,1
nm0001348,6,2
nm0001348,2,3
nm0001904,7,1
nm0001904,2,2
nm0001904,6,3
nm0001983,2,1
nm0001983,5,2
nm0001983,6,3
nm0002691,14,1
nm0002691,7,2
nm0002691,12,3
nm0003205,14,1
nm0003205,12,2
nm0003205,7,3
nm0004216,10,1
nm0004216,27,2
nm0004216,1,3
nm0004266,4,1
nm0004266,1,2
nm0004266,5,3
nm0004486,2,1
nm0004486,7,2
nm0004486,14,3
nm0004678,14,1
nm0004678,12,2
nm0004678,7,3
nm0005092,5,1
nm0005092,2,2
nm0005092,7,3
nm0005172,2,1
nm0005172,6,2
nm0005172,5,3
nm0005401,2,1
nm0005401,5,2
nm0005401,7,3
nm0005408,4,1
nm0005408,1,2
nm0005408,10,3
nm0005419,6,1
nm0005419,4,2
nm0005419,5,3
nm0005512,2,1
nm0005512,5,2
nm0005512,1,3
nm0005736,14,1
nm0005736,12,2
nm0005846,14,1
nm0005846,7,2
nm0005846,12,3
nm0005885,14,1
nm0005885,27,2
nm0005885,31,3
nm0006433,4,1
nm0006433,10,2
nm0007107,4,1
nm0012206,10,1
nm0012206,9,2
nm0012206,1,3
nm0013928,6,1
nm0013928,5,2
nm0013928,3,3
nm0015806,2,1
nm0015806,7,2
nm0015806,6,3
nm0016342,2,1
nm0017263,4,1
nm0017263,1,2
nm0020692,10,1
nm0020692,27,2
nm0020692,1,3
nm0021571,5,1
nm0024619,7,1
nm0024619,6,2
nm0024619,5,3
nm0024915,4,1
nm0025389,2,1
nm0025389,6,2
nm0025389,10,3
nm0025886,4,1
nm0025886,5,2
nm0034518,10,1
nm0034518,9,2
nm0034518,1,3
nm0035713,17,1
nm0035713,22,2
nm0035713,25,3
nm0037973,2,1
nm0039507,20,1
nm0039507,30,2
nm0039507,5,3
nm0045556,4,1
nm0052486,7,1
nm0052486,2,2
nm0052486,14,3
nm0056187,2,1
nm0056187,6,2
nm0056187,5,3
nm0058117,4,1
nm0058527,9,1
nm0061362,4,1
nm0063782,2,1
nm0068442,22,1
nm0068699,10,1
nm0068699,27,2
