title_id,content_type_id,primary_title,original_title,is_adult,start_year,end_year,runtime_minutes
tt0063562,3,Die Schlacht bei Lobositz,Die Schlacht bei Lobositz,0,1968,\N,120
tt0127965,2,Vizela,Vizela,0,1936,\N,\N
tt0194074,2,Kangaroo Man,Dai shu nan ren,0,1995,\N,97
tt0259943,1,The Cool Hot Rod,The Cool Hot Rod,0,1953,\N,26
tt0324972,2,As God Wishes,Ahogy az Isten elrendeli,0,2001,\N,67
tt0389705,4,Zindagi,Zindagi,0,1987,\N,\N
tt0453720,2,Im Schatten der Moschee,Im Schatten der Moschee,0,1923,\N,\N
tt0518033,5,Them and Us,Them and Us,0,1999,\N,\N
tt0581410,5,Off Beat,Off Beat,0,1954,\N,\N
tt0644476,5,Prey of the Cat,Prey of the Cat,0,1958,\N,60
tt0707661,5,Episode #1.24,Episode #1.24,0,2001,\N,\N
tt0771325,5,Sjáumst!,Sjáumst!,0,\N,\N,\N
tt0835626,5,Episode dated 6 February 2006,Episode dated 6 February 2006,0,2006,\N,\N
tt0900065,5,Fire,Fire,0,1993,\N,\N
tt0964521,1,Das Gelb ohne Zebra,Das Gelb ohne Zebra,0,2005,\N,24
tt1004963,5,Episode #1.157,Episode #1.157,0,2003,\N,\N
tt10158780,5,Episode #1.178,Episode #1.178,0,2018,\N,\N
tt10267854,5,Lemon Powered,Lemon Powered,0,2019,\N,\N
tt10377176,5,Episode #2.202,Episode #2.202,0,1994,\N,\N
tt10486284,5,Episode #1.250,Episode #1.250,0,1983,\N,\N
tt10595396,5,AFRICA - Part 4,AFRICA - Part 4,0,2016,\N,\N
tt10703584,5,C'est qui le boss?,C'est qui le boss?,0,2019,\N,\N
tt10811410,5,Top 10 WORST Animated CARTOON Moments of 2016 (RebelTaxi),Top 10 WORST Animated CARTOON Moments of 2016 (RebelTaxi),0,2017,\N,16
tt10919510,2,Cosmic Birth,Cosmic Birth,0,2019,\N,45
tt11027392,5,09.27.19,09.27.19,0,2019,\N,\N
tt1123919,9,Experiment - Ausgeliefert sein! 8,Experiment - Ausgeliefert sein! 8,1,2000,\N,\N
tt1189040,1,Elliniki yfantiki,Elliniki yfantiki,0,1979,\N,30
tt1254222,1,Circus Queen,Cirkusluft,0,1912,\N,\N
tt1319543,5,Wild Cats,Wild Cats,0,1983,\N,29
tt1384481,5,Intensa vida social,Intensa vida social,0,2001,\N,\N
tt1448965,5,Episode #1.53,Episode #1.53,0,2008,\N,\N
tt1513535,5,Episode #1.10,Episode #1.10,0,2008,\N,\N
tt1578322,5,Episode dated 2 January 2010,Episode dated 2 January 2010,0,2010,\N,\N
tt1642858,5,Freddie's Picnic,Freddie's Picnic,0,1954,\N,30
tt1707386,2,Les Misérables,Les Misérables,0,2012,\N,158
tt1773067,3,The Cabin,The Cabin,0,2011,\N,90
tt1838735,3,Our Wild Hearts,Our Wild Hearts,0,2013,\N,89
tt1903289,5,Chabita and Mutya Question Their Guardians Who Their Real Parents Are,Chabita and Mutya Question Their Guardians Who Their Real Parents Are,0,2011,\N,\N
tt1968111,5,Episode dated 13 November 1998,Episode dated 13 November 1998,0,1998,\N,\N
tt2032551,1,The Kimchi Bandit Series,The Kimchi Bandit Series,0,2011,\N,\N
tt2097181,5,Roy vs. Lane,Roy vs. Lane,0,2011,\N,22
tt2164424,5,Ovidius,Ovidius,0,2012,\N,\N
tt2235751,2,Konvoy,Konvoy,0,2012,\N,81
tt2305737,5,Episode dated 14 March 2012,Episode dated 14 March 2012,0,2012,\N,\N
tt2376899,5,Episode dated 30 November 2004,Episode dated 30 November 2004,0,2004,\N,\N
tt2495788,1,Y la muerte lo seguía,Y la muerte lo seguía,0,2012,\N,20
tt2648820,5,Episode #1.241,Episode #1.241,0,1964,\N,\N
tt2797098,5,"Lose a Sister, Gain a Husband/The Sinner and the Saint","Lose a Sister, Gain a Husband/The Sinner and the Saint",0,2013,\N,43
tt2944480,2,Talk: A Portmanteau,Talk: A Portmanteau,0,2013,\N,75
tt3095526,5,Episode #1.14,Episode #1.14,0,2013,\N,\N
tt3240510,5,A Mother's Work,A Mother's Work,0,2013,\N,84
tt3383866,1,A Clinical Diagnosis of: Acrophobia,A Clinical Diagnosis of: Acrophobia,0,2012,\N,\N
tt3528294,5,Episode #1.17,Episode #1.17,0,2014,\N,\N
tt3672860,5,Episode #12.148,Episode #12.148,0,2014,\N,\N
tt3814770,5,Percy's Shout,Percy's Shout,0,\N,\N,\N
